CUDA device           : 0 NVIDIA A30X (0000:36:00.0)
Controller page size  : 4096 B
Namespace block size  : 4096 B
Number of threads     : 32
Chunks per thread     : 32
Pages per chunk       : 1
Total number of pages : 16384
Total number of blocks: 16384
Double buffering      : no
NVMe controller number of submission queues = 135
NVMe controller number of completion queues = 135
Launching kernel with 512 threads
hostTimes[0]: 0x7faca5003000
hostTimes[1]: 0x7faca5003800
hostTimes[2]: 0x7faca5004000
hostTimes[3]: 0x7faca5004800
hostTimes[4]: 0x7faca5005000
hostTimes[5]: 0x7faca5005800
hostTimes[6]: 0x7faca5006000
hostTimes[7]: 0x7faca5006800
hostTimes[8]: 0x7faca5007000
hostTimes[9]: 0x7faca5007800
hostTimes[10]: 0x7faca5008000
hostTimes[11]: 0x7faca5008800
hostTimes[12]: 0x7faca5009000
hostTimes[13]: 0x7faca5009800
hostTimes[14]: 0x7faca500a000
hostTimes[15]: 0x7faca500a800
QP count: 0
#     size;     disk_lat;      disk_bw;      mem_lat;       mem_bw;      cum_lat;       cum_bw;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      331.776;      395.062;        0.000;          inf;      331.776;      395.062;
    131072;      329.728;      397.516;        0.000;          inf;      329.728;      397.516;
    131072;      330.752;      396.285;        0.000;          inf;      330.752;      396.285;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      322.560;      406.349;        0.000;          inf;      322.560;      406.349;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      321.536;      407.643;        0.000;          inf;      321.536;      407.643;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      331.776;      395.062;        0.000;          inf;      331.776;      395.062;
    131072;      328.704;      398.754;        0.000;          inf;      328.704;      398.754;
    131072;      330.752;      396.285;        0.000;          inf;      330.752;      396.285;
    131072;      330.752;      396.285;        0.000;          inf;      330.752;      396.285;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      329.728;      397.516;        0.000;          inf;      329.728;      397.516;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      329.728;      397.516;        0.000;          inf;      329.728;      397.516;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      330.752;      396.285;        0.000;          inf;      330.752;      396.285;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
QP count: 3
#     size;     disk_lat;      disk_bw;      mem_lat;       mem_bw;      cum_lat;       cum_bw;
    131072;      348.160;      376.471;        0.000;          inf;      348.160;      376.471;
    131072;      337.920;      387.879;        0.000;          inf;      337.920;      387.879;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      335.872;      390.244;        0.000;          inf;      335.872;      390.244;
    131072;      331.776;      395.062;        0.000;          inf;      331.776;      395.062;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      330.752;      396.285;        0.000;          inf;      330.752;      396.285;
    131072;      331.776;      395.062;        0.000;          inf;      331.776;      395.062;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      329.728;      397.516;        0.000;          inf;      329.728;      397.516;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      330.752;      396.285;        0.000;          inf;      330.752;      396.285;
    131072;      331.776;      395.062;        0.000;          inf;      331.776;      395.062;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      331.776;      395.062;        0.000;          inf;      331.776;      395.062;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      335.872;      390.244;        0.000;          inf;      335.872;      390.244;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      331.776;      395.062;        0.000;          inf;      331.776;      395.062;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      321.536;      407.643;        0.000;          inf;      321.536;      407.643;
    131072;      331.776;      395.062;        0.000;          inf;      331.776;      395.062;
    131072;      340.992;      384.384;        0.000;          inf;      340.992;      384.384;
    131072;      330.752;      396.285;        0.000;          inf;      330.752;      396.285;
    131072;      328.704;      398.754;        0.000;          inf;      328.704;      398.754;
    131072;      330.752;      396.285;        0.000;          inf;      330.752;      396.285;
    131072;      330.752;      396.285;        0.000;          inf;      330.752;      396.285;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
QP count: 4
#     size;     disk_lat;      disk_bw;      mem_lat;       mem_bw;      cum_lat;       cum_bw;
    131072;      348.160;      376.471;        0.000;          inf;      348.160;      376.471;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      330.752;      396.285;        0.000;          inf;      330.752;      396.285;
    131072;      331.776;      395.062;        0.000;          inf;      331.776;      395.062;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      336.896;      389.058;        0.000;          inf;      336.896;      389.058;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      338.944;      386.707;        0.000;          inf;      338.944;      386.707;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      325.632;      402.516;        0.000;          inf;      325.632;      402.516;
    131072;      322.560;      406.349;        0.000;          inf;      322.560;      406.349;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      330.752;      396.285;        0.000;          inf;      330.752;      396.285;
    131072;      322.560;      406.349;        0.000;          inf;      322.560;      406.349;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      335.872;      390.244;        0.000;          inf;      335.872;      390.244;
    131072;      331.776;      395.062;        0.000;          inf;      331.776;      395.062;
    131072;      329.728;      397.516;        0.000;          inf;      329.728;      397.516;
    131072;      320.512;      408.946;        0.000;          inf;      320.512;      408.946;
    131072;      321.536;      407.643;        0.000;          inf;      321.536;      407.643;
    131072;      324.608;      403.785;        0.000;          inf;      324.608;      403.785;
    131072;      330.752;      396.285;        0.000;          inf;      330.752;      396.285;
    131072;      335.872;      390.244;        0.000;          inf;      335.872;      390.244;
QP count: 5
#     size;     disk_lat;      disk_bw;      mem_lat;       mem_bw;      cum_lat;       cum_bw;
    131072;      348.160;      376.471;        0.000;          inf;      348.160;      376.471;
    131072;      326.656;      401.254;        0.000;          inf;      326.656;      401.254;
    131072;      305.152;      429.530;        0.000;          inf;      305.152;      429.530;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      335.872;      390.244;        0.000;          inf;      335.872;      390.244;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      336.896;      389.058;        0.000;          inf;      336.896;      389.058;
    131072;      335.872;      390.244;        0.000;          inf;      335.872;      390.244;
    131072;      338.944;      386.707;        0.000;          inf;      338.944;      386.707;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      326.656;      401.254;        0.000;          inf;      326.656;      401.254;
    131072;      323.584;      405.063;        0.000;          inf;      323.584;      405.063;
    131072;      335.872;      390.244;        0.000;          inf;      335.872;      390.244;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      330.752;      396.285;        0.000;          inf;      330.752;      396.285;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      337.920;      387.879;        0.000;          inf;      337.920;      387.879;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      330.752;      396.285;        0.000;          inf;      330.752;      396.285;
    131072;      330.752;      396.285;        0.000;          inf;      330.752;      396.285;
    131072;      331.776;      395.062;        0.000;          inf;      331.776;      395.062;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      335.872;      390.244;        0.000;          inf;      335.872;      390.244;
QP count: 6
#     size;     disk_lat;      disk_bw;      mem_lat;       mem_bw;      cum_lat;       cum_bw;
    131072;      349.184;      375.367;        0.000;          inf;      349.184;      375.367;
    131072;      326.656;      401.254;        0.000;          inf;      326.656;      401.254;
    131072;      305.152;      429.530;        0.000;          inf;      305.152;      429.530;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      326.656;      401.254;        0.000;          inf;      326.656;      401.254;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      331.776;      395.062;        0.000;          inf;      331.776;      395.062;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      291.840;      449.123;        0.000;          inf;      291.840;      449.123;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      323.584;      405.063;        0.000;          inf;      323.584;      405.063;
    131072;      335.872;      390.244;        0.000;          inf;      335.872;      390.244;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      327.680;      400.000;        0.000;          inf;      327.680;      400.000;
    131072;      330.752;      396.285;        0.000;          inf;      330.752;      396.285;
    131072;      297.984;      439.863;        0.000;          inf;      297.984;      439.863;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      342.016;      383.234;        0.000;          inf;      342.016;      383.234;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      335.872;      390.244;        0.000;          inf;      335.872;      390.244;
QP count: 7
#     size;     disk_lat;      disk_bw;      mem_lat;       mem_bw;      cum_lat;       cum_bw;
    131072;      349.184;      375.367;        0.000;          inf;      349.184;      375.367;
    131072;      326.656;      401.254;        0.000;          inf;      326.656;      401.254;
    131072;      329.728;      397.516;        0.000;          inf;      329.728;      397.516;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      335.872;      390.244;        0.000;          inf;      335.872;      390.244;
    131072;      335.872;      390.244;        0.000;          inf;      335.872;      390.244;
    131072;      337.920;      387.879;        0.000;          inf;      337.920;      387.879;
    131072;      335.872;      390.244;        0.000;          inf;      335.872;      390.244;
    131072;      339.968;      385.542;        0.000;          inf;      339.968;      385.542;
    131072;      335.872;      390.244;        0.000;          inf;      335.872;      390.244;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      335.872;      390.244;        0.000;          inf;      335.872;      390.244;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      325.632;      402.516;        0.000;          inf;      325.632;      402.516;
    131072;      327.680;      400.000;        0.000;          inf;      327.680;      400.000;
    131072;      324.608;      403.785;        0.000;          inf;      324.608;      403.785;
    131072;      328.704;      398.754;        0.000;          inf;      328.704;      398.754;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      335.872;      390.244;        0.000;          inf;      335.872;      390.244;
    131072;      335.872;      390.244;        0.000;          inf;      335.872;      390.244;
    131072;      342.016;      383.234;        0.000;          inf;      342.016;      383.234;
    131072;      335.872;      390.244;        0.000;          inf;      335.872;      390.244;
    131072;      335.872;      390.244;        0.000;          inf;      335.872;      390.244;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      335.872;      390.244;        0.000;          inf;      335.872;      390.244;
    131072;      335.872;      390.244;        0.000;          inf;      335.872;      390.244;
    131072;      322.560;      406.349;        0.000;          inf;      322.560;      406.349;
    131072;      336.896;      389.058;        0.000;          inf;      336.896;      389.058;
QP count: 8
#     size;     disk_lat;      disk_bw;      mem_lat;       mem_bw;      cum_lat;       cum_bw;
    131072;      349.184;      375.367;        0.000;          inf;      349.184;      375.367;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      330.752;      396.285;        0.000;          inf;      330.752;      396.285;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      325.632;      402.516;        0.000;          inf;      325.632;      402.516;
    131072;      328.704;      398.754;        0.000;          inf;      328.704;      398.754;
    131072;      324.608;      403.785;        0.000;          inf;      324.608;      403.785;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      327.680;      400.000;        0.000;          inf;      327.680;      400.000;
    131072;      324.608;      403.785;        0.000;          inf;      324.608;      403.785;
    131072;      336.896;      389.058;        0.000;          inf;      336.896;      389.058;
    131072;      323.584;      405.063;        0.000;          inf;      323.584;      405.063;
    131072;      294.912;      444.444;        0.000;          inf;      294.912;      444.444;
    131072;      323.584;      405.063;        0.000;          inf;      323.584;      405.063;
    131072;      324.608;      403.785;        0.000;          inf;      324.608;      403.785;
    131072;      335.872;      390.244;        0.000;          inf;      335.872;      390.244;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      326.656;      401.254;        0.000;          inf;      326.656;      401.254;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      299.008;      438.356;        0.000;          inf;      299.008;      438.356;
    131072;      336.896;      389.058;        0.000;          inf;      336.896;      389.058;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      324.608;      403.785;        0.000;          inf;      324.608;      403.785;
    131072;      340.992;      384.384;        0.000;          inf;      340.992;      384.384;
    131072;      323.584;      405.063;        0.000;          inf;      323.584;      405.063;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      335.872;      390.244;        0.000;          inf;      335.872;      390.244;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      337.920;      387.879;        0.000;          inf;      337.920;      387.879;
QP count: 9
#     size;     disk_lat;      disk_bw;      mem_lat;       mem_bw;      cum_lat;       cum_bw;
    131072;      350.208;      374.269;        0.000;          inf;      350.208;      374.269;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      329.728;      397.516;        0.000;          inf;      329.728;      397.516;
    131072;      324.608;      403.785;        0.000;          inf;      324.608;      403.785;
    131072;      335.872;      390.244;        0.000;          inf;      335.872;      390.244;
    131072;      327.680;      400.000;        0.000;          inf;      327.680;      400.000;
    131072;      324.608;      403.785;        0.000;          inf;      324.608;      403.785;
    131072;      324.608;      403.785;        0.000;          inf;      324.608;      403.785;
    131072;      327.680;      400.000;        0.000;          inf;      327.680;      400.000;
    131072;      324.608;      403.785;        0.000;          inf;      324.608;      403.785;
    131072;      327.680;      400.000;        0.000;          inf;      327.680;      400.000;
    131072;      324.608;      403.785;        0.000;          inf;      324.608;      403.785;
    131072;      328.704;      398.754;        0.000;          inf;      328.704;      398.754;
    131072;      323.584;      405.063;        0.000;          inf;      323.584;      405.063;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      336.896;      389.058;        0.000;          inf;      336.896;      389.058;
    131072;      326.656;      401.254;        0.000;          inf;      326.656;      401.254;
    131072;      328.704;      398.754;        0.000;          inf;      328.704;      398.754;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      330.752;      396.285;        0.000;          inf;      330.752;      396.285;
    131072;      299.008;      438.356;        0.000;          inf;      299.008;      438.356;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      324.608;      403.785;        0.000;          inf;      324.608;      403.785;
    131072;      324.608;      403.785;        0.000;          inf;      324.608;      403.785;
    131072;      329.728;      397.516;        0.000;          inf;      329.728;      397.516;
    131072;      324.608;      403.785;        0.000;          inf;      324.608;      403.785;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      324.608;      403.785;        0.000;          inf;      324.608;      403.785;
    131072;      324.608;      403.785;        0.000;          inf;      324.608;      403.785;
    131072;      328.704;      398.754;        0.000;          inf;      328.704;      398.754;
    131072;      325.632;      402.516;        0.000;          inf;      325.632;      402.516;
    131072;      327.680;      400.000;        0.000;          inf;      327.680;      400.000;
QP count: 10
#     size;     disk_lat;      disk_bw;      mem_lat;       mem_bw;      cum_lat;       cum_bw;
    131072;      351.232;      373.178;        0.000;          inf;      351.232;      373.178;
    131072;      335.872;      390.244;        0.000;          inf;      335.872;      390.244;
    131072;      330.752;      396.285;        0.000;          inf;      330.752;      396.285;
    131072;      325.632;      402.516;        0.000;          inf;      325.632;      402.516;
    131072;      336.896;      389.058;        0.000;          inf;      336.896;      389.058;
    131072;      328.704;      398.754;        0.000;          inf;      328.704;      398.754;
    131072;      325.632;      402.516;        0.000;          inf;      325.632;      402.516;
    131072;      325.632;      402.516;        0.000;          inf;      325.632;      402.516;
    131072;      327.680;      400.000;        0.000;          inf;      327.680;      400.000;
    131072;      325.632;      402.516;        0.000;          inf;      325.632;      402.516;
    131072;      327.680;      400.000;        0.000;          inf;      327.680;      400.000;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      333.824;      392.638;        0.000;          inf;      333.824;      392.638;
    131072;      336.896;      389.058;        0.000;          inf;      336.896;      389.058;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      334.848;      391.437;        0.000;          inf;      334.848;      391.437;
    131072;      332.800;      393.846;        0.000;          inf;      332.800;      393.846;
    131072;      329.728;      397.516;        0.000;          inf;      329.728;      397.516;
    131072;      331.776;      395.062;        0.000;          inf;      331.776;      395.062;
    131072;      323.584;      405.063;        0.000;          inf;      323.584;      405.063;
    131072;      325.632;      402.516;        0.000;          inf;      325.632;      402.516;
    131072;      325.632;      402.516;        0.000;          inf;      325.632;      402.516;
    131072;      330.752;      396.285;        0.000;          inf;      330.752;      396.285;
    131072;      325.632;      402.516;        0.000;          inf;      325.632;      402.516;
    131072;      323.584;      405.063;        0.000;          inf;      323.584;      405.063;
    131072;      324.608;      403.785;        0.000;          inf;      324.608;      403.785;
    131072;      324.608;      403.785;        0.000;          inf;      324.608;      403.785;
    131072;      327.680;      400.000;        0.000;          inf;      327.680;      400.000;
    131072;      326.656;      401.254;        0.000;          inf;      326.656;      401.254;
    131072;      327.680;      400.000;        0.000;          inf;      327.680;      400.000;
QP count: 11
#     size;     disk_lat;      disk_bw;      mem_lat;       mem_bw;      cum_lat;       cum_bw;
    131072;      352.256;      372.093;        0.000;          inf;      352.256;      372.093;
    131072;      336.896;      389.058;        0.000;          inf;      336.896;      389.058;
    131072;      308.224;      425.249;        0.000;          inf;      308.224;      425.249;
    131072;      326.656;      401.254;        0.000;          inf;      326.656;      401.254;
    131072;      328.704;      398.754;        0.000;          inf;      328.704;      398.754;
    131072;      330.752;      396.285;        0.000;          inf;      330.752;      396.285;
    131072;      326.656;      401.254;        0.000;          inf;      326.656;      401.254;
    131072;      325.632;      402.516;        0.000;          inf;      325.632;      402.516;
    131072;      328.704;      398.754;        0.000;          inf;      328.704;      398.754;
    131072;      326.656;      401.254;        0.000;          inf;      326.656;      401.254;
    131072;      336.896;      389.058;        0.000;          inf;      336.896;      389.058;
